start	text
1662879	то ли везению
1663679	и срочным молитвам
1664979	ко всем, кому не всё равно,
1666919	она сотворила чудо,
1668620	превратив курс на столкновение
1670219	в пологий нырок в атмосферу.
1671739	Но достичь невозможного
1673699	ей всё же не удалось,
1675139	разреженная пыльная атмосфера планеты
1677100	вцепилась в корабль
1678560	и отказывалась отпускать.
1680639	Крылатый фюзеляж корабля
1682000	тормозился слишком быстро,
1683940	чтобы удержаться на орбите,
1685879	но недостаточно для управляемой посадки
1688060	на неподготовленную поверхность.
1690760	В качестве отчаянной меры
1692139	аварийные солнечные батареи,
1694600	убранные перед снижением,
1696100	были выпущены снова.
1697800	Через миг они сорвались с креплений,
1699520	почти не замедлив корабль.
1701919	Следом был выпущен
1702800	аварийный тормозной парашют,
1704520	а за ним посадочные парашюты.
1706100	Все они продержались лишь пару секунд,
1708820	после чего их порвало в клочья.
1711399	Наконец, не видя другого выхода,
1713580	пилот задрала нос как можно выше,
1715740	стараясь хоть как-то затормозить.
1718179	Маневровые движки,
1719280	перегруженные сверх всякой меры,
1721360	исчерпали ману и вырубились.
1723840	Гироскопы ориентации,
1725679	вынужденные работать непрерывно,
1727740	выжрали всю энергию электрических батарей
1730060	и автоматически отключились.
1732540	Корабль, оставшись неуправляемым,
1734240	самопроизвольно клюнул носом,
1736560	едва успев перемахнуть
1737660	через край неглубокого каньона.
1739900	А потом они встретились с поверхностью,
1742240	и в корабле уже не было энергии
1743840	ни на выпуск шасси,
1745280	ни на управление, ни на что.
1747760	С грохотом, перекрывшим даже вой пыльной бури,
1750740	корабль на полной скорости
1752000	хлопнулся брюхом об инопланетную почву
1754120	и заскользил, вздымая перед собой
1756420	вал из пыли и мелких камушков.
1758260	Попадавшиеся навстречу крупные камни
1761140	снесли его короткие крылья-плавники,
1763900	закрутив корабль сперва в одну,
1765879	затем в другую сторону,
1767520	но прямо по курсу ни одного валуна,
1769640	к счастью, не оказалось.
1771560	Постепенно под кораблем
1772660	образовалась пологая насыпь,
1774540	и нос начал зарываться в грунт,
1776560	сильнее тормозя аппарат.
1778379	И, наконец, с последним стоном
1779920	измученного металла,
1781540	корабль вздрогнул и замер,
1783300	оставив за собой борозду
1784580	длиной в несколько километров.
1786679	Картинка Айчтипа Э.
1788699	СЮ.
1790040	Дэрпи Сидэн.
1791240	Дзэчкнет.
1792399	Шэ.
1792879	Эмг.
1793740	Две тысяча девятнадцать.
1795659	Шесть.
1796580	Шестнадцать.
1797840	Две тысяча шейпт.
1798939	Сэссэйс.
1799840	Сиэс.
1800419	Сэссэсэсэсэсэсэсэсэсэсэсэсэсээддин.
1801620	Лардж.
1803460	Пэнджи.
1805080	Пять космических путешественников,
1807179	надёжно упакованные в скафандры,
1809419	выжили.
1809820	Но их корабль лишился энергии,
1812480	воздуха, воды и магии.
1815399	А когда они пришли в себя,
1817220	то все пятеро заметили на встроенных
1819040	в шлемы курсовых дисплеях
1820600	мигающий огонёк.
1823120	Последний человек на Марсе
1824460	сидел один в своём жилище
1826000	и печатал.
1827480	Вот такова ситуация.
1829300	Я застрял на Марсе.
1831060	У меня нет возможности общаться
1832480	с Гермесом или Землёй.
1834720	Все думают, что я мёртв.
1836500	Я нахожусь в доме,
1837600	рассчитанном на тридцать один день.
1839900	Если оксигенатор сломается,
1841600	я задохнусь.
1843060	Если очиститель воды сломается,
1845300	я умру от жажды.
1847040	Если дом порвётся,
1848520	я просто взорвусь.
1850140	Если ничего из этого не произойдёт,
1852280	у меня в конце концов
1853300	закончится еда,
1854820	и я умру голодной смертью.
1856900	Так что да, я в жопе.
1859380	Он сделал паузу,
1860480	решив, что это весьма подходящее место
1862540	для завершения записи в журнале,
1864280	и переместил курсор на кнопку сохранения.
1868040	Раздался стук в дверь.
1869900	Его пальцы вернулись к клавиатуре.
1872820	И, видимо, я уже схожу с ума.
1875260	Должно быть потеря крови.
1877420	Мне кажется, что только что слышал,
1879220	как кто-то постучался в дверь
1880560	первого воздушного шлюза.
1882720	Но это невозможно,
1883840	потому что все остальные
1884960	улетели на МАВ.
1886520	А это поездка в один конец.
1888820	Раздался ещё один стук,
1890420	куда как более настойчивый.
1891840	И, бена мать,
1893720	это случилось снова.
1895459	Что-то на самом деле стучит в дверь шлюза.
1898120	Марк Воттни сохранил запись,
1900580	встал со стула,
1901840	стараясь не обращать внимания
1903300	на недавно зашитую рану на боку,
1905659	и пошёл, чтобы ответить на него.
1907180	Примечание автора.
1910000	«Спаркл-двигатель»
1911060	описывает принцип работы FTL-движителя
1913620	из HTCPL
1916060	G-C-Ponyfiction.org
1920180	Story
1921160	B-C-P-C-I-A-S-O-3
1923680	«Стрела-18»
1925780	Автора
1926260	Admiral Tiger Claw
1927720	Одной из моих любимых историй
1929900	на FimFiction.
1931420	На тех же принципах
1932460	в том фанфике работает телекинез,
1934740	но у нас с этим всё не так.
1936120	Вам не нужно предварительно читать
1938520	космическую программу чейнджлингов,
1940760	чтобы понимать происходящее
1942120	в этой истории.
1943580	Однако я настоятельно рекомендую вам
1945479	приобрести экземпляр книги
1947239	Энди Вейра Марсианин.
1949820	Во-первых, это замечательная книга,
1951840	а во-вторых, я опираюсь именно на неё,
1954260	а не на фильм.
1955459	В фильме Уоттни было куда проще,
1957100	чем в книге.
1958219	Я намеренно избегаю повтора сцен,
1960120	описанных в книге,
1961560	так что прямое цитирование
1962840	в конце этой главы
1963800	может считаться исключением.
1965220	Конечно, добавление пяти пони,
1967940	трёх пони чейнджлинга
1969140	и драк на примпереулок,
1970600	почти полностью меняет проблемы,
1972680	встающие перед Уоттни.
1974320	А это означает,
1975280	что происходящее будет
1976360	в значительной мере другим.
1978400	Но ему всё равно придётся решать
1979920	ежедневные проблемы с воздухом,
1982000	водой, пищей, теплом, связью,
1984400	возвращение домой там.
1986140	И, конечно же,
1986820	проблему здравого рассудка.
1989300	Некоторые главы будут длинными,
1990860	хотя ни одна из них не будет
1992740	такой длинной,
1993540	как самые длинные главы КПЧ,
1995639	а некоторые очень короткими.
1997860	Каждая глава будет днём,
1999580	вернее, солом,
2000959	жизни героев.
2002300	И поскольку это кажется
2003620	достаточно разумным,
2005399	я собираюсь попытаться
2006439	публиковать по одной главе в день,
2008699	даже когда я нахожусь
2009659	в командировках по делам.
2011419	Надеюсь, я смогу продолжать
2012820	в том же духе.
2014100	Посмотрим.
2014700	Если вам понравилось,
2016800	вот мой Патреон.
2020380	Вабави.
2021700	Патреон.
2023460	Ком.
2024360	Крис Оверстрит.
2026360	Серьёзно.
2027940	Я не могу тратить на это
2029080	много времени,
2029920	если приходится заниматься
2031180	другими делами,
2032380	которые помогают оплачивать
2033680	счета и кредиты,
2034780	поэтому ваши взносы означают
2036420	больше глав пропони.
2039560	Сол седьмой.
2041820	В то время, что должно было быть
2043280	утром седьмого Сола,
2044879	а вместо этого стало
2045899	послеполуденным временем
2047240	131-го дня миссии,
2049779	марсианский взлётный модуль
2051300	МВМ
2052179	с пятью выжившими членами
2054179	экспедиции
2054980	АРС-3
2056040	пришвартовался к Гермесу
2058020	судну,
2058779	которая доставила их на Марс
2060219	и которая доставит их
2061279	обратно на Землю.
2063300	Протокол НАСА
2064080	на случай досрочного
2065219	прерывания миссии,
2066560	подобного тому,
2067520	что и произошло с ними,
2069080	был однозначен,
2070259	и такие ситуации
2071199	были не раз отработаны
2072500	за годы обучения команды.
2075260	Выгрузить образцы пород,
2077080	взятые прямо на месте посадки
2078860	и загруженные в МВМ
2080159	ещё на второй СОЛ,
2081780	чтобы миссия не была
2082800	полностью провальной
2083840	при любом ходе событий
2085060	25 килограммов,
2086800	или примерно 1,20,
2089020	от того, что они собрали бы
2090420	при штатном завершении миссии.
2092719	Отстыковать МВМ,
2094280	запрограммировав его
